Timestamp,Rede,Token,Cotação USD,Cotação BRL,Preço do Gas (gwei)
2025-09-05T02:45:11.488Z,Polygon,matic-network,"0,2849","1,5500","78,146850678"
2025-09-05T03:00:09.379Z,Ethereum,ethereum,"4323,8100","23544,0000","0,180697936"
2025-09-05T03:00:11.240Z,BNB Chain,binancecoin,"847,0900","4612,4900","0,1"
2025-09-05T03:00:12.082Z,Polygon,matic-network,"0,2838","1,5500","77,991394926"
2025-09-05T03:15:09.008Z,Ethereum,ethereum,"4307,2000","23452,0000","0,205856529"
2025-09-05T03:15:11.123Z,BNB Chain,binancecoin,"846,1600","4607,1500","0,1"
2025-09-05T03:15:11.864Z,Polygon,matic-network,"0,2845","1,5500","69,262971019"
2025-09-05T03:30:07.911Z,Ethereum,ethereum,"4300,5000","23421,0000","0,224761364"
2025-09-05T03:30:09.332Z,BNB Chain,binancecoin,"845,0600","4602,2100","0,1"
2025-09-05T03:30:10.240Z,Polygon,matic-network,"0,2837","1,5500","55,406699348"
2025-09-05T03:45:08.831Z,Ethereum,ethereum,"4308,7000","23458,0000","0,183136486"
2025-09-05T03:45:10.586Z,BNB Chain,binancecoin,"844,6800","4600,0500","0,1"
2025-09-05T03:45:11.426Z,Polygon,matic-network,"0,2832","1,5400","42,461903565"
2025-09-05T04:00:08.878Z,Ethereum,ethereum,"4327,6000","23565,0000","0,173148216"
2025-09-05T04:00:10.263Z,BNB Chain,binancecoin,"845,6100","4604,6700","0,1"
2025-09-05T04:00:11.250Z,Polygon,matic-network,"0,2837","1,5500","35,363503868"
2025-09-05T04:15:08.548Z,Ethereum,ethereum,"4319,1800","23515,0000","0,181754764"
2025-09-05T04:15:10.272Z,BNB Chain,binancecoin,"844,9200","4600,0100","0,1"
2025-09-05T04:15:11.039Z,Polygon,matic-network,"0,2836","1,5400","30,369197956"
2025-09-05T04:30:08.837Z,Ethereum,ethereum,"4319,8900","23527,0000","0,197678403"
2025-09-05T04:30:10.437Z,BNB Chain,binancecoin,"843,9400","4596,3700","0,1"
2025-09-05T04:30:11.275Z,Polygon,matic-network,"0,2829","1,5400","28,693815187"
2025-09-05T04:45:08.332Z,Ethereum,ethereum,"4326,9000","23563,0000","0,250315432"
2025-09-05T04:45:09.800Z,BNB Chain,binancecoin,"845,0700","4602,0700","0,1"
2025-09-05T04:45:10.651Z,Polygon,matic-network,"0,2833","1,5400","28,821586081"
2025-09-05T05:00:08.702Z,Ethereum,ethereum,"4331,9500","23589,0000","0,265493771"
2025-09-05T05:00:10.454Z,BNB Chain,binancecoin,"846,2500","4608,1900","0,1"
2025-09-05T05:00:11.238Z,Polygon,matic-network,"0,2873","1,5600","31,451200538"
2025-09-05T05:15:07.527Z,Ethereum,ethereum,"4335,3200","23609,0000","0,243926887"
2025-09-05T05:15:09.107Z,BNB Chain,binancecoin,"846,1700","4608,0000","0,1"
2025-09-05T05:15:09.961Z,Polygon,matic-network,"0,2872","1,5600","31,138218602"
2025-09-05T05:30:08.725Z,Ethereum,ethereum,"4333,6700","23596,0000","0,182586809"
2025-09-05T05:30:09.911Z,BNB Chain,binancecoin,"846,8100","4610,6900","0,1"
2025-09-05T05:30:10.737Z,Polygon,matic-network,"0,2864","1,5600","31,304410579"
2025-09-05T05:45:06.911Z,Ethereum,ethereum,"4339,4200","23629,0000","0,250481135"
2025-09-05T05:45:08.357Z,BNB Chain,binancecoin,"846,9500","4611,8900","0,1"
2025-09-05T05:45:09.162Z,Polygon,matic-network,"0,2864","1,5600","30,219389517"
2025-09-05T06:00:09.224Z,Ethereum,ethereum,"4339,1700","23627,0000","0,229884034"
2025-09-05T06:00:10.618Z,BNB Chain,binancecoin,"846,8500","4611,1800","0,1"
2025-09-05T06:00:10.935Z,Polygon,matic-network,"0,2858","1,5600","28,759944589"
2025-09-05T06:15:09.133Z,Ethereum,ethereum,"4335,8500","23609,0000","0,215143095"
2025-09-05T06:15:11.320Z,BNB Chain,binancecoin,"846,5100","4609,3300","0,1"
2025-09-05T06:15:12.194Z,Polygon,matic-network,"0,2852","1,5500","28,121856068"
2025-09-05T06:30:08.945Z,Ethereum,ethereum,"4328,8900","23573,0000","0,194696827"
2025-09-05T06:30:10.184Z,BNB Chain,binancecoin,"845,2800","4602,9600","0,1"
2025-09-05T06:30:11.057Z,Polygon,matic-network,"0,2839","1,5500","28,195398162"
2025-09-05T06:45:12.096Z,Ethereum,ethereum,"4333,5900","23591,0000","0,168404524"
2025-09-05T06:45:13.815Z,BNB Chain,binancecoin,"845,9500","4605,1100","0,1"
2025-09-05T06:45:14.647Z,Polygon,matic-network,"0,2847","1,5500","27,708727055"
2025-09-05T07:00:08.459Z,Ethereum,ethereum,"4330,6800","23578,0000","0,200502859"
2025-09-05T07:00:09.646Z,BNB Chain,binancecoin,"846,5100","4608,6600","0,1"
2025-09-05T07:00:09.937Z,Polygon,matic-network,"0,2853","1,5500","28,95816309"
2025-09-05T07:15:10.618Z,Ethereum,ethereum,"4356,8600","23724,0000","0,323638567"
2025-09-05T07:15:12.394Z,BNB Chain,binancecoin,"848,3000","4619,1400","0,1"
2025-09-05T07:15:13.223Z,Polygon,matic-network,"0,2861","1,5600","35,045202042"
2025-09-05T07:30:09.546Z,Ethereum,ethereum,"4375,5100","23825,0000","0,417826259"
2025-09-05T07:30:11.121Z,BNB Chain,binancecoin,"849,0800","4623,2500","0,1"
2025-09-05T07:30:11.942Z,Polygon,matic-network,"0,2871","1,5600","37,424188553"
2025-09-05T07:45:09.724Z,Ethereum,ethereum,"4392,7700","23924,0000","0,657547607"
2025-09-05T07:45:11.403Z,BNB Chain,binancecoin,"850,0900","4629,7900","0,1"
2025-09-05T07:45:12.234Z,Polygon,matic-network,"0,2878","1,5700","39,649688023"
2025-09-05T08:00:10.081Z,Ethereum,ethereum,"4421,5500","24072,0000","0,802706161"
2025-09-05T08:00:12.254Z,BNB Chain,binancecoin,"850,5700","4630,7800","0,1"
2025-09-05T08:00:12.564Z,Polygon,matic-network,"0,2887","1,5700","47,576763398"
2025-09-05T08:15:09.133Z,Ethereum,ethereum,"4398,6800","23950,0000","0,47410315"
2025-09-05T08:15:10.679Z,BNB Chain,binancecoin,"848,8200","4621,7200","0,1"
2025-09-05T08:15:11.492Z,Polygon,matic-network,"0,2899","1,5800","116,249989015"
2025-09-05T08:30:09.970Z,Ethereum,ethereum,"4396,0700","23967,0000","0,356542572"
2025-09-05T08:30:11.134Z,BNB Chain,binancecoin,"848,3900","4625,4000","0,1"
2025-09-05T08:30:11.974Z,Polygon,matic-network,"0,2878","1,5700","89,677323501"
2025-09-05T08:45:10.539Z,Ethereum,ethereum,"4397,6200","23971,0000","0,292155825"
2025-09-05T08:45:12.215Z,BNB Chain,binancecoin,"848,6800","4626,1700","0,1"
2025-09-05T08:45:13.080Z,Polygon,matic-network,"0,2874","1,5700","78,742539107"
2025-09-05T09:00:07.617Z,Ethereum,ethereum,"4406,2700","24026,0000","0,268648278"
2025-09-05T09:00:08.719Z,BNB Chain,binancecoin,"849,4500","4631,8200","0,1"
2025-09-05T09:00:09.509Z,Polygon,matic-network,"0,2869","1,5600","77,797735064"
2025-09-05T09:15:11.895Z,Ethereum,ethereum,"4398,3200","23964,0000","0,234256632"
2025-09-05T09:15:13.521Z,BNB Chain,binancecoin,"850,0200","4631,2500","0,1"
2025-09-05T09:15:14.209Z,Polygon,matic-network,"0,2881","1,5700","76,055631489"
2025-09-05T09:30:07.633Z,Ethereum,ethereum,"4377,6100","23851,0000","0,260040286"
2025-09-05T09:30:09.684Z,BNB Chain,binancecoin,"847,9600","4620,0500","0,1"
2025-09-05T09:30:10.387Z,Polygon,matic-network,"0,2860","1,5600","90,950570878"
2025-09-05T09:45:10.416Z,Ethereum,ethereum,"4397,8500","23961,0000","0,242545147"
2025-09-05T09:45:11.823Z,BNB Chain,binancecoin,"848,9100","4625,1200","0,1"
2025-09-05T09:45:12.085Z,Polygon,matic-network,"0,2859","1,5600","77,669340702"
2025-09-05T10:00:08.623Z,Ethereum,ethereum,"4396,6800","23951,0000","0,235657853"
2025-09-05T10:00:09.747Z,BNB Chain,binancecoin,"849,3500","4626,8400","0,1"
2025-09-05T10:00:10.516Z,Polygon,matic-network,"0,2861","1,5600","77,881036386"
2025-09-05T10:15:07.885Z,Ethereum,ethereum,"4404,4300","23992,0000","0,221690809"
2025-09-05T10:15:09.219Z,BNB Chain,binancecoin,"849,3400","4626,5000","0,1"
2025-09-05T10:15:09.847Z,Polygon,matic-network,"0,2869","1,5600","75,995969095"
2025-09-05T10:30:08.391Z,Ethereum,ethereum,"4409,2600","24021,0000","0,18927778"
2025-09-05T10:30:10.217Z,BNB Chain,binancecoin,"849,3700","4627,1800","0,1"
2025-09-05T10:30:10.925Z,Polygon,matic-network,"0,2864","1,5600","73,841561804"
2025-09-05T10:45:10.120Z,Ethereum,ethereum,"4412,0100","24035,0000","0,203767266"
2025-09-05T10:45:11.915Z,BNB Chain,binancecoin,"849,8600","4629,8100","0,1"
2025-09-05T10:45:12.148Z,Polygon,matic-network,"0,2860","1,5600","77,945052088"
2025-09-05T11:00:08.324Z,Ethereum,ethereum,"4412,1600","24032,0000","0,222256527"
2025-09-05T11:00:09.371Z,BNB Chain,binancecoin,"850,3500","4631,6600","0,1"
