Produtos,Classificacao,Brasil Total,Sul Total,RS Total,Alegrete Total,Brasil Familiar,Sul Familiar,RS Familiar,Alegrete Familiar,Brasil Valor Vendido Total,Sul Valor Vendido Total,RS Valor Vendido Total,Alegrete Valor Vendido Total,Brasil Valor Vendido Familiar,Sul Valor Vendido Familiar,RS Valor Vendido Familiar,Alegrete Valor Vendido Familiar,Obrigatorio
Milho verde (espiga),Agricultura,71045,4827,1290,3,57152,4059,1159,2,238822,31376,7639,0,137857,28616,6667,0,0
Morango,Agricultura,12955,5054,2049,4,11515,4382,1804,2,666013,176022,91105,28,526128,121124,55569,0,1
Mostarda (semente),Agricultura,1581,269,122,,1256,227,104,0,3454,863,713,,2300,452,373,0,0
Mudas e outras formas de propagação (produzidas para plantio),Agricultura,878,240,115,1,598,164,87,1,162667,60293,29066,,40774,16360,9902,0,0
Nabiça,Agricultura,63,38,37,,56,36,35,0,265,24,24,,82,0,0,0,0
Nabo,Agricultura,1086,422,146,1,846,342,127,0,2751,451,186,,2032,396,155,0,1
Orégano,Agricultura,891,476,55,1,666,384,47,0,606,139,62,,435,91,59,0,1
Outros produtos,Agricultura,4922,825,355,2,4111,684,308,1,31427,5661,2348,,21080,5051,2031,0,0
Pepino,Agricultura,33296,14332,3560,4,28223,12390,3212,3,165762,42864,13115,3,132083,37323,11538,0,1
Pimenta,Agricultura,28716,1364,255,1,24308,1119,228,1,93625,2144,453,,70894,1716,409,0,1
Pimentão,Agricultura,32507,5483,1506,2,26901,4776,1348,2,312159,36159,9032,,229420,30041,7492,0,1
Quiabo,Agricultura,43341,1711,92,,35694,1413,84,0,181652,4138,168,,147643,3740,141,0,1
Rabanete,Agricultura,6038,2995,1454,5,4971,2625,1319,4,13418,5869,3104,4,9590,4779,2811,0,1
Repolho,Agricultura,38178,22147,4962,13,32268,19119,4399,10,207872,72787,27563,3,137335,54678,19706,0,1
Rúcula,Agricultura,20567,4554,1799,13,16764,3872,1579,8,133267,33623,15614,38,76680,22224,10357,36,1
Salsa,Agricultura,30775,9112,3423,30,25087,7722,2937,22,118824,34053,14248,27,81480,23412,9821,26,1
Sementes (produzidas para plantio),Agricultura,319,63,36,,262,57,33,0,5744,1481,1381,,3005,1477,1379,0,0
Taioba,Agricultura,3462,35,1,,2751,26,0,0,2531,24,,,2204,23,0,0,0
Tomate (estaqueado),Agricultura,44259,14953,3801,7,36389,12902,3324,7,1182780,221957,67742,34,557399,150991,43687,34,1
Vagem (feijão vagem),Agricultura,13437,5177,1535,3,11635,4510,1384,3,71991,15838,4681,13,59697,13786,4130,13,0
Abacate,Agricultura,291153,78209,45873,4,228645,66072,39922,2,177955,7359,455,0,48473,4946,371,0,1
Açaí (fruto),Agricultura,78059,264,88,0,67017,198,75,0,395111,77,11,0,316090,74,1,0,1
Acerola,Agricultura,319501,16950,6091,0,241737,13362,5016,0,90358,4213,2,0,48870,3045,1,0,1
"Agave, sisal (fibra)",Agricultura,5631,18,7,0,4527,16,5,0,98378,0,0,0,62234,0,0,0,0
