Produtos,Classificacao,Brasil Total,Sul Total,RS Total,Alegrete Total,Brasil Familiar,Sul Familiar,RS Familiar,Alegrete Familiar,Brasil Valor Vendido Total,Sul Valor Vendido Total,RS Valor Vendido Total,Alegrete Valor Vendido Total,Brasil Valor Vendido Familiar,Sul Valor Vendido Familiar,RS Valor Vendido Familiar,Alegrete Valor Vendido Familiar
Mudas de coco-da-baía,Agricultura,804,9,0,0,584,5,0,0,3145,100,0,0,620,39,0,0
"Mudas de frutas cítricas (laranja, limão, tangerina, etc.)",Agricultura,1434,121,68,0,1044,97,55,0,51391,3517,1557,0,11333,1325,1212,0
Mudas de mamão,Agricultura,758,16,6,0,532,10,4,0,2403,1,0,0,311,1,0,0
Mudas de outros produtos da lavoura permanente,Agricultura,2217,253,110,1,1661,198,94,1,342425,16936,9925,0,39145,7807,3741,0
Mudas de uva,Agricultura,329,147,80,0,228,120,70,0,47653,42628,42197,0,39890,39661,39525,0
Nectarina,Agricultura,7346,6936,2742,0,5933,5717,2292,0,5694,3963,876,0,2407,2273,686,0
Nêspera,Agricultura,9156,7995,4969,0,7427,6702,4255,0,5290,150,65,0,2607,89,15,0
"Noz (europeia, pecã)",Agricultura,19226,19080,14783,4,15820,15738,12266,0,22439,20958,18599,0,5067,5066,4271,0
Outros produtos,Agricultura,62537,3910,2155,0,48113,3072,1761,0,106508,24205,2971,0,33569,5681,2316,0
Palmito,Agricultura,15956,5805,247,0,11164,3979,224,0,149966,72613,53,0,58647,29453,53,0
Pera,Agricultura,71130,67237,51238,16,60166,57748,44480,13,16927,16130,9345,0,6135,5465,4069,0
Pêssego,Agricultura,161082,149352,99057,28,136023,128080,86354,23,164891,133607,106545,31,102792,95516,80608,0
Pimenta-do-reino,Agricultura,41795,637,297,0,34708,520,256,0,427904,3,0,0,276091,0,0,0
Pitaia,Agricultura,3087,1216,650,0,2130,961,534,0,7339,2232,311,0,4679,2033,247,0
Pitanga,Agricultura,75843,44517,29175,2,59860,37653,25166,1,359,11,11,0,54,4,3,0
Pupunha (cacho frutos),Agricultura,25344,194,32,0,21944,152,29,0,13703,148,0,0,8975,111,0,0
Romã,Agricultura,42367,12492,8190,0,32385,10251,6834,0,1158,134,2,0,303,14,1,0
"Tangerina, bergamota, mexerica",Agricultura,331677,179986,123834,63,265971,153265,107090,47,282664,85700,67184,45,134887,64469,49004,13
Urucum (semente),Agricultura,73343,1158,170,0,59393,860,148,0,69728,5108,0,0,50212,2910,0,0
Uva (mesa),Agricultura,73864,56874,37274,6,60476,48764,32481,3,1026009,108476,56114,0,228899,86138,44844,0
Uva (vinho ou suco),Agricultura,35232,32580,26922,2,30002,28126,23415,1,938879,901885,854841,0,726108,723825,688143,0
Abacaxi,Agricultura,53128,2325,1137,,45413,1963,986,0,665463,9679,5083,,446138,6799,3351,
"Abóbora, moranga, jerimum",Agricultura,273451,72585,53622,59,223726,62842,47276,41,209651,31785,11916,20,114512,22119,9912,16
Algodão herbáceo,Agricultura,3224,8,,,2321,6,0,0,5280941,188,,,4540,,,
Alho,Agricultura,40722,28833,22279,1,35346,25820,20176,1,712206,161814,63613,,111044,86153,39563,
Amendoim em casca,Agricultura,59207,28943,21165,2,50558,26102,19394,1,552073,7850,1843,,44676,2918,1729,
